Subcategory,Tags
Science - Physics,Science - Physics
Science - Chemistry,Science - Chemistry
Science - Biology,Science - Biology
Science - Other,"Science - Astro, Science - CS, Science - Earth, Science - Math, Science - Other "
Literature - American,Literature - American
Literature - British,Literature - British
Literature - Euro,Literature - Euro
Literature - World / Ancient,Literature - World / Ancient
History - Euro,History - Euro
History - Other,History - Other
History - US,History - US
History - World,History - World
Arts - Classical Music,Arts - Classical Music
Arts - Painting,Arts - Painting
Arts - Other Auditory,"Arts - Other Auditory, Arts - Other Visual"
Misc - Social Science,"Social Science - Economics, Social Science - Linguistics, Social Science - Other, Social Science - Psychology/Sociology"
Misc - Myth/Geo,"Myth - Myth, Geography - Geography"
Misc - Religion,"Religion - Judeo-Christian, Religion - Not Judeo-Christian"
Misc - Philosophy,Philosophy - Philosophy
Misc - Trash/CE/OtherAc,"Current Events - Current Events, Other Academic - Other Academic, Trash - Movies/TV, Trash - Music, Trash - Other, Trash â€“ Sports"
